date,year,month,state,type,source,mwh,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,30956,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,3345970,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Geothermal,1235076,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Other Biomass,1212840,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Pumped Storage,-680998,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Other,1193181,,,
Oct-02,2002,10,US-TOTAL,Total Electric Power Industry,Total,307059460,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Coal,156053655,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Petroleum,6286737,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Natural Gas,45160876,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Other Gases,894161,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Nuclear,61520324,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,19730029,,,
Nov-02,2002,11,US-TOTAL,Total Electric Power Industry,Wind,655946,,,
